ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;Арт. AB-015 Свитшот Aosta Betty / Арт. AB-015;Материал: 100% хлопок Бренд: Aosta Betty Страна бренда: Китай Свитшот подходит для ношения на каждый день: в детский садик, в гости к любимой бабуле и в магазин. В нем ребенку всегда будет комфортно, удобно и тепло. Материал создает внутри изделия свой микроклимат, что позволяет избежать перегрева. ;290;15;https://junior35.ru/catalog/aosta_betty/svitshot_aosta_betty_art_ab015;https://junior35.ru/assets/images/products/59/prod/42.png.jpg;"Размер: 2 - Остаток: 3"
;Арт. CC-008 Комбинезон Cool Club;Материал: 100% полиэстер Бренд: Cool Club Страна бренда: Польша Хотите одеть свою малышку красиво и тепло? Тогда идеальным решением для вас станет этот комбинезон, который выполнен в броской цветовой гамме. В комплекте варежки с изысканным декором в виде бантиков, которые добавляют комплекту большего очарования. Капюшон обит мехом, а потому ребенок всегда сможет защититься от промозглого ветра. ;1 440;15;https://junior35.ru/catalog/cool_club/zimniy_kombinezon_cool_club_art_cc008;https://junior35.ru/assets/images/products/251/prod/47.png.jpg https://junior35.ru/assets/images/products/251/prod/48.png.jpg https://junior35.ru/assets/images/products/251/prod/1746.jpg;"Размер: 86 - Остаток: 3"
;Арт. BN-046 Футболка Boinc;Материал: 95 % хлопок, 5% эластэн Бренд: Boinc Страна бренда: Турция  ;205;15;https://junior35.ru/catalog/boinc/futbolka_boinc_art_bn046;https://junior35.ru/assets/images/products/295/prod/046.jpg;"Размер: 92 - Остаток: 2"
;Арт. BN-043 Футболка Boinc;Материал: 95 % хлопок, 5% эластэн Бренд: Boinc Страна бренда: Турция  ;230;15;https://junior35.ru/catalog/boinc/futbolka_boinc_art_bn043;https://junior35.ru/assets/images/products/298/prod/043.jpg;"Размер: 122 - Остаток: 2"
;Арт. BN-032 Футболка Boinc;Материал: 95 % хлопок, 5% эластэн Бренд: Boinc Страна бренда: Турция  ;240;15;https://junior35.ru/catalog/boinc/futbolka_boinc_art_bn032;https://junior35.ru/assets/images/products/309/prod/032.jpg https://junior35.ru/assets/images/products/309/prod/0321.jpg https://junior35.ru/assets/images/products/309/prod/032-1.jpg;"Размер: 134 - Остаток: 3;Размер: 146 - Остаток: 1"
;Арт. BN-030 Футболка Boinc;Материал: 95 % хлопок, 5% эластэн Бренд: Boinc Страна бренда: Турция  ;240;15;https://junior35.ru/catalog/boinc/futbolka_boinc_art_bn030;https://junior35.ru/assets/images/products/311/prod/030.jpg;"Размер: 140 - Остаток: 3;Размер: 146 - Остаток: 3"
;Арт. BN-027 Футболка Boinc;Материал: 95 % хлопок, 5% эластэн Бренд: Boinc Страна бренда: Турция Футболка на 8-9 лет,длина 52 см,ширина 40 см Футболка на 9-10 лет,длина 53 см,ширина 41 см Футболка на 10-11 лет,длина 54 см,ширина 42 см Футболка на 11-12 лет,длина 56 см,ширина 43 см ;280;15;https://junior35.ru/catalog/boinc/futbolka_boinc_art_bn027;https://junior35.ru/assets/images/products/314/prod/027.jpg https://junior35.ru/assets/images/products/314/prod/0271.jpg;"Размер: 134 - Остаток: 4"
;Арт. LM-1502 Костюм Little Maven;Материал: 100 % хлопок Бренд: Little Maven Страна бренда: США Костюм на 2 года,футболка длина 37 см,ширина 31 см,шорты длина 25 см,ширина 32 см Костюм на 3 года,футболка длина 39 см,ширина 32 см,шорты длина 26 см,ширина 34 см Костюм на 4 года,футболка длина 43 см,ширина 33 см,шорты длина 28 см,ширина 36 см Костюм на 5 лет,футболка длина 46 см,ширина 34 см,шорты длина 31 см,ширина 38 см Костюм на 6 лет,футболка длина 50 см,ширина 35 см,шорты длина 32 см,ширина 40 см Костюм на 7 лет,футболка длина 52 см,ширина 36 см,шорты длина 33 см,ширина 41 см ;420;15;https://junior35.ru/catalog/littlemaven/kostyum__little_maven_art_lm1502;https://junior35.ru/assets/images/products/3587/prod/214.jpg;"Размер: 2 - Остаток: 3;Размер: 3 - Остаток: 5;Размер: 4 - Остаток: 7;Размер: 5 - Остаток: 1;Размер: 6 - Остаток: 6;Размер: 7 - Остаток: 2"
;Арт. LM-1501 Костюм Little Maven;Материал: 100 % хлопок Бренд: Little Maven Страна бренда: США Костюм на 2 года,футболка длина 37 см,ширина 30 см,шорты длина 26 см,ширина 31 см Костюм на 3 года,футболка длина 40 см,ширина 31 см,шорты длина 27 см,ширина 33 см Костюм на 4 года,футболка длина 44 см,ширина 33 см,шорты длина 29 см,ширина 35см Костюм на 5 лет,футболка длина 46 см,ширина 34 см,шорты длина 30 см,ширина 36 см Костюм на 6 лет,футболка длина 50 см,ширина 35 см,шорты длина 32 см,ширина 37 см Костюм на 7 лет,футболка длина 52 см,ширина 36 см,шорты длина 33 см,ширина 38 см ;420;15;https://junior35.ru/catalog/littlemaven/kostyum__little_maven_art_lm1501;https://junior35.ru/assets/images/products/3586/prod/212.jpg;"Размер: 2 - Остаток: 4;Размер: 3 - Остаток: 7;Размер: 4 - Остаток: 1;Размер: 5 - Остаток: 2;Размер: 6 - Остаток: 6"
;Арт. LM-1499 Костюм Little Maven;Материал: 100 % хлопок Бренд: Little Maven Страна бренда: США Костюм на 2 года,футболка длина 36 см,ширина 34 см,шорты длина 28 см,ширина 30 см Костюм на 3 года,футболка длина 38 см,ширина 35 см,шорты длина 30 см,ширина 34 см Костюм на 4 года,футболка длина 42 см,ширина 37 см,шорты длина 31 см,ширина 35 см Костюм на 5 лет,футболка длина 45 см,ширина 38 см,шорты длина 32 см,ширина 36 см Костюм на 6 лет,футболка длина 47 см,ширина 39 см,шорты длина 33 см,ширина 37 см Костюм на 7 лет,футболка длина 50 см,ширина 40 см,шорты длина 34 см,ширина 38 см ;360;15;https://junior35.ru/catalog/littlemaven/kostyum__little_maven__art_lm1499;https://junior35.ru/assets/images/products/3584/prod/211.jpg;"Размер: 7 - Остаток: 6"
